time,z_mid,alpha_m-1
2.9,5.712507,-1.876474e-02
2.9,6.187512,-1.575910e-02
2.9,6.662516,-1.543087e-02
2.9,7.137521,-1.802263e-02
2.9,7.612525,-1.598317e-02
2.9,8.087530,-1.672558e-02
2.9,8.562535,-1.781585e-02
2.9,9.037539,-1.743041e-02
2.9,9.512544,-1.326441e-02
3,0.487456,-1.360978e-01
3,0.962461,-1.825458e-01
3,1.437465,-1.319275e-01
3,1.912470,-1.237678e-01
3,2.387475,-7.863123e-02
3,2.862479,-5.988587e-02
3,3.337484,-4.863567e-02
3,3.812489,-4.203197e-02
3,4.287493,-3.083497e-02
3,4.762498,-2.716896e-02
3,5.237502,-2.141467e-02
3,5.712507,-2.001313e-02
3,6.187512,-1.620206e-02
3,6.662516,-1.524589e-02
3,7.137521,-1.711976e-02
3,7.612525,-1.486698e-02
3,8.087530,-1.551680e-02
3,8.562535,-1.687035e-02
3,9.037539,-1.704112e-02
3,9.512544,-1.342103e-02
3.1,0.487456,-1.305126e-01
3.1,0.962461,-1.784400e-01
3.1,1.437465,-1.284783e-01
3.1,1.912470,-1.223814e-01
3.1,2.387475,-8.336266e-02
3.1,2.862479,-6.371845e-02
3.1,3.337484,-5.461443e-02
3.1,3.812489,-4.800608e-02
3.1,4.287493,-3.590421e-02
3.1,4.762498,-2.958789e-02
3.1,5.237502,-2.472053e-02
3.1,5.712507,-2.184807e-02
3.1,6.187512,-1.763673e-02
3.1,6.662516,-1.576428e-02
3.1,7.137521,-1.672358e-02
3.1,7.612525,-1.418344e-02
3.1,8.087530,-1.458024e-02
3.1,8.562535,-1.605885e-02
3.1,9.037539,-1.670502e-02
3.1,9.512544,-1.357447e-02
3.2,0.487456,-1.261331e-01
3.2,0.962461,-1.779535e-01
3.2,1.437465,-1.262699e-01
3.2,1.912470,-1.211001e-01
3.2,2.387475,-8.691548e-02
3.2,2.862479,-6.752617e-02
3.2,3.337484,-5.926401e-02
3.2,3.812489,-5.238597e-02
3.2,4.287493,-4.001631e-02
3.2,4.762498,-3.225852e-02
3.2,5.237502,-2.774034e-02
3.2,5.712507,-2.383013e-02
3.2,6.187512,-1.926132e-02
3.2,6.662516,-1.672902e-02
3.2,7.137521,-1.703673e-02
3.2,7.612525,-1.420885e-02
3.2,8.087530,-1.434114e-02
3.2,8.562535,-1.578602e-02
3.2,9.037539,-1.668444e-02
3.2,9.512544,-1.371497e-02
3.3,0.487456,-1.205513e-01
3.3,0.962461,-1.723404e-01
3.3,1.437465,-1.223078e-01
3.3,1.912470,-1.184387e-01
3.3,2.387475,-8.624711e-02
3.3,2.862479,-6.804072e-02
3.3,3.337484,-6.249234e-02
3.3,3.812489,-5.634959e-02
3.3,4.287493,-4.322188e-02
3.3,4.762498,-3.413666e-02
3.3,5.237502,-3.082219e-02
3.3,5.712507,-2.623138e-02
3.3,6.187512,-2.093243e-02
3.3,6.662516,-1.776997e-02
3.3,7.137521,-1.705890e-02
3.3,7.612525,-1.417655e-02
3.3,8.087530,-1.368645e-02
3.3,8.562535,-1.491299e-02
3.3,9.037539,-1.622346e-02
3.3,9.512544,-1.380553e-02
3.4,0.487456,-1.171330e-01
3.4,0.962461,-1.693949e-01
3.4,1.437465,-1.187376e-01
3.4,1.912470,-1.141625e-01
3.4,2.387475,-8.243309e-02
3.4,2.862479,-6.671881e-02
3.4,3.337484,-6.247509e-02
3.4,3.812489,-5.732752e-02
3.4,4.287493,-4.516391e-02
3.4,4.762498,-3.555159e-02
3.4,5.237502,-3.315843e-02
3.4,5.712507,-2.834765e-02
3.4,6.187512,-2.244135e-02
3.4,6.662516,-1.872279e-02
3.4,7.137521,-1.727535e-02
3.4,7.612525,-1.430861e-02
3.4,8.087530,-1.349566e-02
3.4,8.562535,-1.454580e-02
3.4,9.037539,-1.613451e-02
3.4,9.512544,-1.389213e-02
3.5,0.487456,-1.147832e-01
3.5,0.962461,-1.644007e-01
3.5,1.437465,-1.150274e-01
3.5,1.912470,-1.095156e-01
3.5,2.387475,-7.524985e-02
3.5,2.862479,-6.226365e-02
3.5,3.337484,-5.785896e-02
3.5,3.812489,-5.347623e-02
3.5,4.287493,-4.413337e-02
3.5,4.762498,-3.539107e-02
3.5,5.237502,-3.428486e-02
3.5,5.712507,-2.993818e-02
3.5,6.187512,-2.395541e-02
3.5,6.662516,-1.971192e-02
3.5,7.137521,-1.746455e-02
3.5,7.612525,-1.444808e-02
3.5,8.087530,-1.317789e-02
3.5,8.562535,-1.397978e-02
3.5,9.037539,-1.586306e-02
3.5,9.512544,-1.389572e-02
3.6,0.487456,-1.108565e-01
3.6,0.962461,-1.561673e-01
3.6,1.437465,-1.096009e-01
3.6,1.912470,-1.031763e-01
3.6,2.387475,-6.850774e-02
3.6,2.862479,-5.794563e-02
3.6,3.337484,-5.141734e-02
3.6,3.812489,-4.748024e-02
3.6,4.287493,-3.995602e-02
3.6,4.762498,-3.319004e-02
3.6,5.237502,-3.255390e-02
3.6,5.712507,-2.961678e-02
3.6,6.187512,-2.447062e-02
3.6,6.662516,-2.044643e-02
3.6,7.137521,-1.753262e-02
3.6,7.612525,-1.479242e-02
3.6,8.087530,-1.305002e-02
3.6,8.562535,-1.339457e-02
3.6,9.037539,-1.532838e-02
3.6,9.512544,-1.385781e-02
3.7,0.487456,-1.061680e-01
3.7,0.962461,-1.514674e-01
3.7,1.437465,-1.038991e-01
3.7,1.912470,-9.736960e-02
3.7,2.387475,-6.441597e-02
3.7,2.862479,-5.590814e-02
3.7,3.337484,-4.720363e-02
3.7,3.812489,-4.351068e-02
3.7,4.287493,-3.693089e-02
3.7,4.762498,-3.189420e-02
3.7,5.237502,-3.068559e-02
3.7,5.712507,-2.827990e-02
3.7,6.187512,-2.407854e-02
